,index,date,rank,song_name,song_id,album_name,artist,release_date
144,44,2021-11-19 16:00:02.631,45,I Love You So,4SqWKzw0CbA05TGszDgMlc,I Love You So,The Walters,2014-11-28
145,45,2021-11-19 16:00:02.631,46,Enchanted,04S1pkp1VaIqjg8zZqknR5,Speak Now,Taylor Swift,2010-01-01
146,46,2021-11-19 16:00:02.631,47,Run (feat. Ed Sheeran) (Taylor’s Version) (From The Vault),4IQkfUsrwXol38VV3U7t7T,Red (Taylor's Version),Taylor Swift,2021-11-12
147,47,2021-11-19 16:00:02.631,48,I Bet You Think About Me (feat. Chris Stapleton) (Taylor’s Version) (From The Vault),4CkgMiMqZ5JzW9iYXSTMTL,Red (Taylor's Version),Taylor Swift,2021-11-12
148,48,2021-11-19 16:00:02.631,49,Nothing New (feat. Phoebe Bridgers) (Taylor’s Version) (From The Vault),01K4zKU104LyJ8gMb7227B,Red (Taylor's Version),Taylor Swift,2021-11-12
149,49,2021-11-19 16:00:02.631,50,Todo De Ti,5RwV8BvLfX5injfqYodke9,VICE VERSA,Rauw Alejandro,2021-06-25
150,0,2021-11-20 16:00:02.889,1,Easy On Me,46IZ0fSY2mpAiktS3KOqds,30,Adele,2021-11-19
151,1,2021-11-20 16:00:02.889,2,Oh My God,3Kkjo3cT83cw09VJyrLNwX,30,Adele,2021-11-19
152,2,2021-11-20 16:00:02.889,3,Strangers By Nature,13CVSGLSFl4UxpDVR6u3dq,30,Adele,2021-11-19
153,3,2021-11-20 16:00:02.889,4,STAY (with Justin Bieber),5PjdY0CKGZdEuoNab3yDmX,F*CK LOVE 3: OVER YOU,The Kid LAROI,2021-07-23
154,4,2021-11-20 16:00:02.889,5,My Little Love,2DuPBbS5mIldXnh7Wum8Cy,30,Adele,2021-11-19
155,5,2021-11-20 16:00:02.889,6,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),5enxwA8aAbwZbf5qCHORXi,Red (Taylor's Version),Taylor Swift,2021-11-12
156,6,2021-11-20 16:00:02.889,7,Can I Get It,6w8ZPYdnGajyfPddTWdthN,30,Adele,2021-11-19
157,7,2021-11-20 16:00:02.889,8,I Drink Wine,6v0UJD4a2FtleHeSYVX02A,30,Adele,2021-11-19
158,8,2021-11-20 16:00:02.889,9,INDUSTRY BABY (feat. Jack Harlow),5Z9KJZvQzH6PFmb8SNkxuk,MONTERO,Lil Nas X,2021-09-17
159,9,2021-11-20 16:00:02.889,10,Cry Your Heart Out,09u787BYeYIGd2mFIJ505t,30,Adele,2021-11-19
160,10,2021-11-20 16:00:02.889,11,Cold Heart - PNAU Remix,7rglLriMNBPAyuJOMGwi39,The Lockdown Sessions,Elton John,2021-10-22
161,11,2021-11-20 16:00:02.889,12,Heat Waves,02MWAaffLxlfxAUY7c5dvx,Dreamland (+ Bonus Levels),Glass Animals,2020-08-06
162,12,2021-11-20 16:00:02.889,13,To Be Loved,10ImcQk9tihY1EKMDIbvXJ,30,Adele,2021-11-19
163,13,2021-11-20 16:00:02.889,14,Shivers,50nfwKoDiSYg8zOCREWAm5,=,Ed Sheeran,2021-10-29
164,14,2021-11-20 16:00:02.889,15,All Night Parking (with Erroll Garner) Interlude,496vIKS2INz840xZaKncvR,30,Adele,2021-11-19
165,15,2021-11-20 16:00:02.889,16,Woman Like Me,2c6xRsQBv7pynuhYhWoHxo,30,Adele,2021-11-19
166,16,2021-11-20 16:00:02.889,17,Hold On,6bGMSP3H9YqkmaLnaJTIoF,30,Adele,2021-11-19
167,17,2021-11-20 16:00:02.889,18,Pepas,2B4GHvToeLTOBB4QLzW3Ni,La 167,Farruko,2021-10-01
168,18,2021-11-20 16:00:02.889,19,Bad Habits,3rmo8F54jFF8OgYsqTxm5d,=,Ed Sheeran,2021-10-29
169,19,2021-11-20 16:00:02.889,20,Smokin Out The Window,7sMBvZCSUl99bJLXZaLa0b,An Evening With Silk Sonic,Bruno Mars,2021-11-11
170,20,2021-11-20 16:00:02.889,21,Love Is A Game,2j3GxEsbNYNeEzz86wDY4J,30,Adele,2021-11-19
171,21,2021-11-20 16:00:02.889,22,Enemy (with JID) - from the series Arcane League of Legends,1r9xUipOqoNwggBpENDsvJ,Enemy (with JID) [from the series Arcane League of Legends],Imagine Dragons,2021-10-28
172,22,2021-11-20 16:00:02.889,23,MONEY,7hU3IHwjX150XLoTVmjD0q,LALISA,LISA,2021-09-10
